address,branch,amount_lost_BTC,swept_at_utc,collector,explorer
bc1qxz7s2u6ful4cfm9daq7zwme579cpm9h2gqgf24,B,51.07336472,2026-07-30 01:32,bc1qc779m8gec84k3t0ffvu0pps94zheht7lr7ueyn,https://mempool.space/address/bc1qxz7s2u6ful4cfm9daq7zwme579cpm9h2gqgf24
bc1qhrgyedsemlfnfcavlm0e6m5chzreczrew57uvw,B,49.79414513,2026-07-30 01:32,bc1qc779m8gec84k3t0ffvu0pps94zheht7lr7ueyn,https://mempool.space/address/bc1qhrgyedsemlfnfcavlm0e6m5chzreczrew57uvw
bc1qe85jr4em79p66fsszkvfhwjf6p6qst58a2ahlr,A,29.89245121,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,https://mempool.space/address/bc1qe85jr4em79p66fsszkvfhwjf6p6qst58a2ahlr
bc1qvshd3nv6mjjs5wtk6x5ekppakdp2trqcsdvwlf,A,24.08209830,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,https://mempool.space/address/bc1qvshd3nv6mjjs5wtk6x5ekppakdp2trqcsdvwlf
bc1qws3u2kw20y8q9k6sqe2p4k3whmrlawgft7qv47,C1,17.39256787,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,https://mempool.space/address/bc1qws3u2kw20y8q9k6sqe2p4k3whmrlawgft7qv47
bc1q928aamjwtgc5mfgrc348gryl7s7juhrst4344p,B,17.25253527,2026-07-30 01:32,bc1qc779m8gec84k3t0ffvu0pps94zheht7lr7ueyn,https://mempool.space/address/bc1q928aamjwtgc5mfgrc348gryl7s7juhrst4344p
bc1q30363smzw6uk5n2znj65mf9432s0e3d92e3fu5,A,14.42981976,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,https://mempool.space/address/bc1q30363smzw6uk5n2znj65mf9432s0e3d92e3fu5
bc1q9qaljdxux9nr4uuyh8v7khvk7hgvpku5e0xyjj,A,14.25194722,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,https://mempool.space/address/bc1q9qaljdxux9nr4uuyh8v7khvk7hgvpku5e0xyjj
bc1qgzxfgqgvnle9p6kksk35t54ycu2tx2hwau5ppw,A,11.73797492,2026-07-30 01:36,bc1qnk4zh9qcnap2mycp56qjrgza3cc8ylrh8fecp0,https://mempool.space/address/bc1qgzxfgqgvnle9p6kksk35t54ycu2tx2hwau5ppw
bc1q8vvys8vzv97fv32ucdj2dgxkxpg02j92mvrskg,B,10.82443134,2026-07-30 01:32,bc1qc779m8gec84k3t0ffvu0pps94zheht7lr7ueyn,https://mempool.space/address/bc1q8vvys8vzv97fv32ucdj2dgxkxpg02j92mvrskg
