address,hop,amount_sent_BTC,transactions,first_seen_utc,last_seen_utc,sent_into,label,explorer
bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,1,88.85003872,1,2026-07-30 01:43,2026-07-30 01:43,bc1q8jy96fe5lf8vfugydnte3cguk92gpev7kwtp3q,,https://mempool.space/address/bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh
bc1qws3u2kw20y8q9k6sqe2p4k3whmrlawgft7qv47,2,17.39256787,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qws3u2kw20y8q9k6sqe2p4k3whmrlawgft7qv47
bc1quqhzaymqhf9sscvvy6aug7ymmavk8ds4jat0tm,2,10.00001464,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1quqhzaymqhf9sscvvy6aug7ymmavk8ds4jat0tm
bc1q5jsd2qy4r5m89faek7ufuk2zyva9qm06e6tynm,2,7.83074972,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1q5jsd2qy4r5m89faek7ufuk2zyva9qm06e6tynm
bc1qstmvrwnr9yvsu58lavhazmqz4vg7ewaya8nka7,2,6.61462943,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qstmvrwnr9yvsu58lavhazmqz4vg7ewaya8nka7
bc1qzupxucra34ct9f4gg05yr96xynsvakmpfech3u,2,6.31992744,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qzupxucra34ct9f4gg05yr96xynsvakmpfech3u
bc1qy9ec5np0fsq2xvhmrndy27gg35pvsk6shv27wm,2,4.999967,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qy9ec5np0fsq2xvhmrndy27gg35pvsk6shv27wm
bc1qfed5advvk8wks6lywp2fd7dz2cszwuptsef7kf,2,4.99994886,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qfed5advvk8wks6lywp2fd7dz2cszwuptsef7kf
bc1qruquaswvt3d48l95tlp9p3tz88tsxus066pq08,2,2.958267,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qruquaswvt3d48l95tlp9p3tz88tsxus066pq08
bc1qxhylaxu5ksq5kz6defc6ngk3jv4wwq25ah2vej,2,2.60699011,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qxhylaxu5ksq5kz6defc6ngk3jv4wwq25ah2vej
bc1qh0uydpkc6fxhajqt7dua5v57x5cmrcm0hf0ml6,2,2.18670001,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qh0uydpkc6fxhajqt7dua5v57x5cmrcm0hf0ml6
bc1qdnx0uzpjlp376hllwuklhdwedgpnrv0fpemhqm,2,1.609967,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qdnx0uzpjlp376hllwuklhdwedgpnrv0fpemhqm
bc1qwfljgxw88nrc62hp5gkqdw75axhhcz5zqujqw0,2,1.38918337,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qwfljgxw88nrc62hp5gkqdw75axhhcz5zqujqw0
bc1q8m7acjeal5tlj34twn297fu6dvaykj5lcm6eks,2,1.23085889,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1q8m7acjeal5tlj34twn297fu6dvaykj5lcm6eks
bc1qlpg6p7za6qpjhegfqdj4cque0pcu3vxtjqa9e2,2,1.17895425,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qlpg6p7za6qpjhegfqdj4cque0pcu3vxtjqa9e2
bc1qe4nxfsa3j9lkcgsus7uwn3ecj00mmv8ppq376p,2,1.10222126,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qe4nxfsa3j9lkcgsus7uwn3ecj00mmv8ppq376p
bc1q3ecz3j4xge24lapxz40fsu7mg6g6vtzw4tzwy4,2,1.07372143,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1q3ecz3j4xge24lapxz40fsu7mg6g6vtzw4tzwy4
bc1qdv5d0vv8r753nnfflegh3p06zwjczw8q59hu09,2,1.07232554,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qdv5d0vv8r753nnfflegh3p06zwjczw8q59hu09
bc1q657uv3wrtnna7atmntx4ktnenxw8hgganxuq4h,2,1.02649242,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1q657uv3wrtnna7atmntx4ktnenxw8hgganxuq4h
bc1qj2h6alz6f0vjs9prz0tc8v0zv2knztph3tqjf4,2,1.02098493,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qj2h6alz6f0vjs9prz0tc8v0zv2knztph3tqjf4
bc1q5ttf8wrwzvn2xa2tk53nfyrrgxtp6gjkpfssmp,2,1.00991702,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1q5ttf8wrwzvn2xa2tk53nfyrrgxtp6gjkpfssmp
bc1qxx59efpwc0zdyyhfqdsq0rescdlxlnddwukjwm,2,0.999967,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qxx59efpwc0zdyyhfqdsq0rescdlxlnddwukjwm
bc1qnwz6fef795px9jrd50ht0l7pyyvwha2e0nsd4k,2,0.94681549,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qnwz6fef795px9jrd50ht0l7pyyvwha2e0nsd4k
bc1qh0l7q0mca3ln7wsl9luwns0jc9jhgrtft025l4,1,0.77324018,1,2026-07-30 01:43,2026-07-30 01:43,bc1q8jy96fe5lf8vfugydnte3cguk92gpev7kwtp3q,,https://mempool.space/address/bc1qh0l7q0mca3ln7wsl9luwns0jc9jhgrtft025l4
bc1q7uddgqmy46fycdf5v37r8svrceeumvc4gxtm83,2,0.72400082,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1q7uddgqmy46fycdf5v37r8svrceeumvc4gxtm83
bc1qeh0nugpmkq5dwjq57j934ukgpqdvwne2u8r4ug,2,0.69350962,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qeh0nugpmkq5dwjq57j934ukgpqdvwne2u8r4ug
bc1q63v8td5tknwmsgdq7xapsjlsg7w7u6tpm6ena9,2,0.599962,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1q63v8td5tknwmsgdq7xapsjlsg7w7u6tpm6ena9
bc1qsdwkdfzf7gsges3j3hamdpt38eh2sjlytat6nm,2,0.59200025,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qsdwkdfzf7gsges3j3hamdpt38eh2sjlytat6nm
bc1q7j540r0l9a955chpkc8y6mnaz86mssagsky4jp,2,0.51576693,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1q7j540r0l9a955chpkc8y6mnaz86mssagsky4jp
bc1q4e5fcu2l42kxfm6t6727c4f9m6tle5y8tp9v48,2,0.41833494,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1q4e5fcu2l42kxfm6t6727c4f9m6tle5y8tp9v48
bc1q7ayy3877y8qtkp3ndem7ny7umz4dccm0l5md8n,2,0.32042393,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1q7ayy3877y8qtkp3ndem7ny7umz4dccm0l5md8n
bc1qfygsqwqalfrsq02a9mu2eaqyl7qv6nu4qse4nl,2,0.30954909,1,2026-07-30 01:10,2026-07-30 01:10,bc1qdaarag7729c2n4l2wnyt3hkhfpcs66n98z7uuh,,https://mempool.space/address/bc1qfygsqwqalfrsq02a9mu2eaqyl7qv6nu4qse4nl
